# Locations of frequency sampling points
# M=103
# Wavenumber x	Wavenumber y
# [1/m]	[1/m]
1.000e-01	0.000e+00
7.071e-02	7.071e-02
6.123e-18	1.000e-01
-7.071e-02	7.071e-02
2.333e-01	0.000e+00
2.102e-01	1.012e-01
1.455e-01	1.824e-01
5.192e-02	2.275e-01
-5.192e-02	2.275e-01
-1.455e-01	1.824e-01
-2.102e-01	1.012e-01
3.667e-01	0.000e+00
3.518e-01	1.033e-01
3.085e-01	1.982e-01
2.401e-01	2.771e-01
1.523e-01	3.335e-01
5.218e-02	3.629e-01
-5.218e-02	3.629e-01
-1.523e-01	3.335e-01
-2.401e-01	2.771e-01
-3.085e-01	1.982e-01
-3.518e-01	1.033e-01
5.000e-01	0.000e+00
4.891e-01	1.040e-01
4.568e-01	2.034e-01
4.045e-01	2.939e-01
3.346e-01	3.716e-01
2.500e-01	4.330e-01
1.545e-01	4.755e-01
5.226e-02	4.973e-01
-5.226e-02	4.973e-01
-1.545e-01	4.755e-01
-2.500e-01	4.330e-01
-3.346e-01	3.716e-01
-4.045e-01	2.939e-01
-4.568e-01	2.034e-01
-4.891e-01	1.040e-01
6.333e-01	0.000e+00
6.237e-01	1.100e-01
5.951e-01	2.166e-01
5.485e-01	3.167e-01
4.852e-01	4.071e-01
4.071e-01	4.852e-01
3.167e-01	5.485e-01
2.166e-01	5.951e-01
1.100e-01	6.237e-01
3.878e-17	6.333e-01
-1.100e-01	6.237e-01
-2.166e-01	5.951e-01
-3.167e-01	5.485e-01
-4.071e-01	4.852e-01
-4.852e-01	4.071e-01
-5.485e-01	3.167e-01
-5.951e-01	2.166e-01
-6.237e-01	1.100e-01
7.667e-01	0.000e+00
7.589e-01	1.091e-01
7.356e-01	2.160e-01
6.974e-01	3.185e-01
6.450e-01	4.145e-01
5.794e-01	5.021e-01
5.021e-01	5.794e-01
4.145e-01	6.450e-01
3.185e-01	6.974e-01
2.160e-01	7.356e-01
1.091e-01	7.589e-01
4.694e-17	7.667e-01
-1.091e-01	7.589e-01
-2.160e-01	7.356e-01
-3.185e-01	6.974e-01
-4.145e-01	6.450e-01
-5.021e-01	5.794e-01
-5.794e-01	5.021e-01
-6.450e-01	4.145e-01
-6.974e-01	3.185e-01
-7.356e-01	2.160e-01
-7.589e-01	1.091e-01
9.000e-01	0.000e+00
8.934e-01	1.085e-01
8.738e-01	2.154e-01
8.415e-01	3.191e-01
7.969e-01	4.183e-01
7.407e-01	5.113e-01
6.737e-01	5.968e-01
5.968e-01	6.737e-01
5.113e-01	7.407e-01
4.183e-01	7.969e-01
3.191e-01	8.415e-01
2.154e-01	8.738e-01
1.085e-01	8.934e-01
5.511e-17	9.000e-01
-1.085e-01	8.934e-01
-2.154e-01	8.738e-01
-3.191e-01	8.415e-01
-4.183e-01	7.969e-01
-5.113e-01	7.407e-01
-5.968e-01	6.737e-01
-6.737e-01	5.968e-01
-7.407e-01	5.113e-01
-7.969e-01	4.183e-01
-8.415e-01	3.191e-01
-8.738e-01	2.154e-01
-8.934e-01	1.085e-01
