# Locations of frequency sampling points
# M=96
# Wavenumber x	Wavenumber y
# [1/m]	[1/m]
1.000e-01	0.000e+00
8.660e-02	5.000e-02
5.000e-02	8.660e-02
6.123e-18	1.000e-01
-5.000e-02	8.660e-02
-8.660e-02	5.000e-02
1.800e-01	0.000e+00
1.712e-01	5.562e-02
1.456e-01	1.058e-01
1.058e-01	1.456e-01
5.562e-02	1.712e-01
1.102e-17	1.800e-01
-5.562e-02	1.712e-01
-1.058e-01	1.456e-01
-1.456e-01	1.058e-01
-1.712e-01	5.562e-02
2.600e-01	0.000e+00
2.535e-01	5.786e-02
2.343e-01	1.128e-01
2.033e-01	1.621e-01
1.621e-01	2.033e-01
1.128e-01	2.343e-01
5.786e-02	2.535e-01
1.592e-17	2.600e-01
-5.786e-02	2.535e-01
-1.128e-01	2.343e-01
-1.621e-01	2.033e-01
-2.033e-01	1.621e-01
-2.343e-01	1.128e-01
-2.535e-01	5.786e-02
3.400e-01	0.000e+00
3.348e-01	5.904e-02
3.195e-01	1.163e-01
2.944e-01	1.700e-01
2.605e-01	2.185e-01
2.185e-01	2.605e-01
1.700e-01	2.944e-01
1.163e-01	3.195e-01
5.904e-02	3.348e-01
2.082e-17	3.400e-01
-5.904e-02	3.348e-01
-1.163e-01	3.195e-01
-1.700e-01	2.944e-01
-2.185e-01	2.605e-01
-2.605e-01	2.185e-01
-2.944e-01	1.700e-01
-3.195e-01	1.163e-01
-3.348e-01	5.904e-02
4.200e-01	0.000e+00
4.157e-01	5.977e-02
4.030e-01	1.183e-01
3.820e-01	1.745e-01
3.533e-01	2.271e-01
3.174e-01	2.750e-01
2.750e-01	3.174e-01
2.271e-01	3.533e-01
1.745e-01	3.820e-01
1.183e-01	4.030e-01
5.977e-02	4.157e-01
2.572e-17	4.200e-01
-5.977e-02	4.157e-01
-1.183e-01	4.030e-01
-1.745e-01	3.820e-01
-2.271e-01	3.533e-01
-2.750e-01	3.174e-01
-3.174e-01	2.750e-01
-3.533e-01	2.271e-01
-3.820e-01	1.745e-01
-4.030e-01	1.183e-01
-4.157e-01	5.977e-02
5.000e-01	0.000e+00
4.964e-01	6.027e-02
4.855e-01	1.197e-01
4.675e-01	1.773e-01
4.427e-01	2.324e-01
4.115e-01	2.840e-01
3.743e-01	3.316e-01
3.316e-01	3.743e-01
2.840e-01	4.115e-01
2.324e-01	4.427e-01
1.773e-01	4.675e-01
1.197e-01	4.855e-01
6.027e-02	4.964e-01
3.062e-17	5.000e-01
-6.027e-02	4.964e-01
-1.197e-01	4.855e-01
-1.773e-01	4.675e-01
-2.324e-01	4.427e-01
-2.840e-01	4.115e-01
-3.316e-01	3.743e-01
-3.743e-01	3.316e-01
-4.115e-01	2.840e-01
-4.427e-01	2.324e-01
-4.675e-01	1.773e-01
-4.855e-01	1.197e-01
-4.964e-01	6.027e-02
