# Locations of frequency sampling points
# M=101
# Wavenumber x	Wavenumber y
# [1/m]	[1/m]
1.000e-01	0.000e+00
9.010e-02	4.339e-02
6.235e-02	7.818e-02
2.225e-02	9.749e-02
-2.225e-02	9.749e-02
-6.235e-02	7.818e-02
-9.010e-02	4.339e-02
1.600e-01	0.000e+00
1.535e-01	4.508e-02
1.346e-01	8.650e-02
1.048e-01	1.209e-01
6.647e-02	1.455e-01
2.277e-02	1.584e-01
-2.277e-02	1.584e-01
-6.647e-02	1.455e-01
-1.048e-01	1.209e-01
-1.346e-01	8.650e-02
-1.535e-01	4.508e-02
2.200e-01	0.000e+00
2.152e-01	4.574e-02
2.010e-01	8.948e-02
1.780e-01	1.293e-01
1.472e-01	1.635e-01
1.100e-01	1.905e-01
6.798e-02	2.092e-01
2.300e-02	2.188e-01
-2.300e-02	2.188e-01
-6.798e-02	2.092e-01
-1.100e-01	1.905e-01
-1.472e-01	1.635e-01
-1.780e-01	1.293e-01
-2.010e-01	8.948e-02
-2.152e-01	4.574e-02
2.800e-01	0.000e+00
2.762e-01	4.609e-02
2.648e-01	9.092e-02
2.463e-01	1.333e-01
2.210e-01	1.720e-01
1.896e-01	2.060e-01
1.531e-01	2.344e-01
1.125e-01	2.564e-01
6.874e-02	2.714e-01
2.312e-02	2.790e-01
-2.312e-02	2.790e-01
-6.874e-02	2.714e-01
-1.125e-01	2.564e-01
-1.531e-01	2.344e-01
-1.896e-01	2.060e-01
-2.210e-01	1.720e-01
-2.463e-01	1.333e-01
-2.648e-01	9.092e-02
-2.762e-01	4.609e-02
3.400e-01	0.000e+00
3.368e-01	4.630e-02
3.274e-01	9.173e-02
3.119e-01	1.355e-01
2.905e-01	1.767e-01
2.637e-01	2.146e-01
2.321e-01	2.485e-01
1.961e-01	2.778e-01
1.564e-01	3.019e-01
1.139e-01	3.204e-01
6.918e-02	3.329e-01
2.320e-02	3.392e-01
-2.320e-02	3.392e-01
-6.918e-02	3.329e-01
-1.139e-01	3.204e-01
-1.564e-01	3.019e-01
-1.961e-01	2.778e-01
-2.321e-01	2.485e-01
-2.637e-01	2.146e-01
-2.905e-01	1.767e-01
-3.119e-01	1.355e-01
-3.274e-01	9.173e-02
-3.368e-01	4.630e-02
4.000e-01	0.000e+00
3.971e-01	4.821e-02
3.884e-01	9.573e-02
3.740e-01	1.418e-01
3.542e-01	1.859e-01
3.292e-01	2.272e-01
2.994e-01	2.652e-01
2.652e-01	2.994e-01
2.272e-01	3.292e-01
1.859e-01	3.542e-01
1.418e-01	3.740e-01
9.573e-02	3.884e-01
4.821e-02	3.971e-01
2.449e-17	4.000e-01
-4.821e-02	3.971e-01
-9.573e-02	3.884e-01
-1.418e-01	3.740e-01
-1.859e-01	3.542e-01
-2.272e-01	3.292e-01
-2.652e-01	2.994e-01
-2.994e-01	2.652e-01
-3.292e-01	2.272e-01
-3.542e-01	1.859e-01
-3.740e-01	1.418e-01
-3.884e-01	9.573e-02
-3.971e-01	4.821e-02
