# Locations of frequency sampling points
# M=399
# Wavenumber x	Wavenumber y
# [1/m]	[1/m]
7.070e-01	1.092e-01
6.966e-01	1.630e-01
6.820e-01	2.158e-01
6.635e-01	2.674e-01
6.411e-01	3.174e-01
6.149e-01	3.656e-01
5.851e-01	4.116e-01
5.519e-01	4.552e-01
5.155e-01	4.961e-01
4.760e-01	5.341e-01
4.337e-01	5.689e-01
3.889e-01	6.005e-01
3.418e-01	6.285e-01
2.926e-01	6.528e-01
2.418e-01	6.733e-01
1.896e-01	6.898e-01
1.362e-01	7.023e-01
8.204e-02	7.107e-01
2.740e-02	7.149e-01
-2.740e-02	7.149e-01
-8.204e-02	7.107e-01
-1.362e-01	7.023e-01
-1.896e-01	6.898e-01
-2.418e-01	6.733e-01
-2.926e-01	6.528e-01
-3.418e-01	6.285e-01
-3.889e-01	6.005e-01
-4.337e-01	5.689e-01
-4.760e-01	5.341e-01
-5.155e-01	4.961e-01
-5.519e-01	4.552e-01
-5.851e-01	4.116e-01
-6.149e-01	3.656e-01
-6.411e-01	3.174e-01
-6.635e-01	2.674e-01
-6.820e-01	2.158e-01
-6.966e-01	1.630e-01
-7.070e-01	1.092e-01
-7.133e-01	5.476e-02
7.769e-01	0.000e+00
7.749e-01	5.543e-02
7.690e-01	1.106e-01
7.592e-01	1.651e-01
7.455e-01	2.189e-01
7.279e-01	2.715e-01
7.067e-01	3.227e-01
6.819e-01	3.723e-01
6.536e-01	4.200e-01
6.220e-01	4.656e-01
5.872e-01	5.088e-01
5.494e-01	5.494e-01
5.088e-01	5.872e-01
4.656e-01	6.220e-01
4.200e-01	6.536e-01
3.723e-01	6.819e-01
3.227e-01	7.067e-01
2.715e-01	7.279e-01
2.189e-01	7.455e-01
1.651e-01	7.592e-01
1.106e-01	7.690e-01
5.543e-02	7.749e-01
4.757e-17	7.769e-01
-5.543e-02	7.749e-01
-1.106e-01	7.690e-01
-1.651e-01	7.592e-01
-2.189e-01	7.455e-01
-2.715e-01	7.279e-01
-3.227e-01	7.067e-01
-3.723e-01	6.819e-01
-4.200e-01	6.536e-01
-4.656e-01	6.220e-01
-5.088e-01	5.872e-01
-5.494e-01	5.494e-01
-5.872e-01	5.088e-01
-6.220e-01	4.656e-01
-6.536e-01	4.200e-01
-6.819e-01	3.723e-01
-7.067e-01	3.227e-01
-7.279e-01	2.715e-01
-7.455e-01	2.189e-01
-7.592e-01	1.651e-01
-7.690e-01	1.106e-01
-7.749e-01	5.543e-02
8.385e-01	0.000e+00
8.366e-01	5.600e-02
8.310e-01	1.118e-01
8.217e-01	1.670e-01
8.087e-01	2.215e-01
7.921e-01	2.750e-01
7.719e-01	3.273e-01
7.483e-01	3.782e-01
7.214e-01	4.273e-01
6.913e-01	4.745e-01
6.580e-01	5.196e-01
6.218e-01	5.624e-01
5.829e-01	6.027e-01
5.413e-01	6.403e-01
4.974e-01	6.750e-01
4.512e-01	7.067e-01
4.029e-01	7.353e-01
3.529e-01	7.606e-01
3.013e-01	7.824e-01
2.484e-01	8.008e-01
1.944e-01	8.156e-01
1.395e-01	8.268e-01
8.393e-02	8.343e-01
2.802e-02	8.380e-01
-2.802e-02	8.380e-01
-8.393e-02	8.343e-01
-1.395e-01	8.268e-01
-1.944e-01	8.156e-01
-2.484e-01	8.008e-01
-3.013e-01	7.824e-01
-3.529e-01	7.606e-01
-4.029e-01	7.353e-01
-4.512e-01	7.067e-01
-4.974e-01	6.750e-01
-5.413e-01	6.403e-01
-5.829e-01	6.027e-01
-6.218e-01	5.624e-01
-6.580e-01	5.196e-01
-6.913e-01	4.745e-01
-7.214e-01	4.273e-01
-7.483e-01	3.782e-01
-7.719e-01	3.273e-01
-7.921e-01	2.750e-01
-8.087e-01	2.215e-01
-8.217e-01	1.670e-01
-8.310e-01	1.118e-01
-8.366e-01	5.600e-02
9.000e-01	0.000e+00
8.983e-01	5.540e-02
8.932e-01	1.106e-01
8.847e-01	1.654e-01
8.728e-01	2.195e-01
8.576e-01	2.728e-01
8.392e-01	3.251e-01
8.176e-01	3.762e-01
7.929e-01	4.258e-01
7.652e-01	4.738e-01
7.346e-01	5.200e-01
7.012e-01	5.642e-01
6.651e-01	6.063e-01
6.265e-01	6.461e-01
5.856e-01	6.835e-01
5.424e-01	7.182e-01
4.971e-01	7.502e-01
4.500e-01	7.794e-01
4.012e-01	8.056e-01
3.508e-01	8.288e-01
2.991e-01	8.488e-01
2.463e-01	8.656e-01
1.925e-01	8.792e-01
1.381e-01	8.893e-01
8.304e-02	8.962e-01
2.772e-02	8.996e-01
-2.772e-02	8.996e-01
-8.304e-02	8.962e-01
-1.381e-01	8.893e-01
-1.925e-01	8.792e-01
-2.463e-01	8.656e-01
-2.991e-01	8.488e-01
-3.508e-01	8.288e-01
-4.012e-01	8.056e-01
-4.500e-01	7.794e-01
-4.971e-01	7.502e-01
-5.424e-01	7.182e-01
-5.856e-01	6.835e-01
-6.265e-01	6.461e-01
-6.651e-01	6.063e-01
-7.012e-01	5.642e-01
-7.346e-01	5.200e-01
-7.652e-01	4.738e-01
-7.929e-01	4.258e-01
-8.176e-01	3.762e-01
-8.392e-01	3.251e-01
-8.576e-01	2.728e-01
-8.728e-01	2.195e-01
-8.847e-01	1.654e-01
-8.932e-01	1.106e-01
-8.983e-01	5.540e-02
