# Locations of frequency sampling points
# M=89
# Wavenumber x	Wavenumber y
# [1/m]	[1/m]
1.000e-01	0.000e+00
9.781e-02	2.079e-02
9.135e-02	4.067e-02
8.090e-02	5.878e-02
6.691e-02	7.431e-02
5.000e-02	8.660e-02
3.090e-02	9.511e-02
1.045e-02	9.945e-02
-1.045e-02	9.945e-02
-3.090e-02	9.511e-02
-5.000e-02	8.660e-02
-6.691e-02	7.431e-02
-8.090e-02	5.878e-02
-9.135e-02	4.067e-02
-9.781e-02	2.079e-02
1.333e-01	0.000e+00
1.317e-01	2.086e-02
1.268e-01	4.120e-02
1.188e-01	6.053e-02
1.079e-01	7.837e-02
9.428e-02	9.428e-02
7.837e-02	1.079e-01
6.053e-02	1.188e-01
4.120e-02	1.268e-01
2.086e-02	1.317e-01
8.164e-18	1.333e-01
-2.086e-02	1.317e-01
-4.120e-02	1.268e-01
-6.053e-02	1.188e-01
-7.837e-02	1.079e-01
-9.428e-02	9.428e-02
-1.079e-01	7.837e-02
-1.188e-01	6.053e-02
-1.268e-01	4.120e-02
-1.317e-01	2.086e-02
1.667e-01	0.000e+00
1.654e-01	2.089e-02
1.614e-01	4.145e-02
1.550e-01	6.135e-02
1.461e-01	8.029e-02
1.348e-01	9.796e-02
1.215e-01	1.141e-01
1.062e-01	1.284e-01
8.930e-02	1.407e-01
7.096e-02	1.508e-01
5.150e-02	1.585e-01
3.123e-02	1.637e-01
1.047e-02	1.663e-01
-1.047e-02	1.663e-01
-3.123e-02	1.637e-01
-5.150e-02	1.585e-01
-7.096e-02	1.508e-01
-8.930e-02	1.407e-01
-1.062e-01	1.284e-01
-1.215e-01	1.141e-01
-1.348e-01	9.796e-02
-1.461e-01	8.029e-02
-1.550e-01	6.135e-02
-1.614e-01	4.145e-02
-1.654e-01	2.089e-02
2.000e-01	0.000e+00
1.988e-01	2.162e-02
1.953e-01	4.299e-02
1.895e-01	6.386e-02
1.815e-01	8.398e-02
1.714e-01	1.031e-01
1.592e-01	1.210e-01
1.452e-01	1.375e-01
1.295e-01	1.524e-01
1.122e-01	1.655e-01
9.368e-02	1.767e-01
7.403e-02	1.858e-01
5.351e-02	1.927e-01
3.236e-02	1.974e-01
1.083e-02	1.997e-01
-1.083e-02	1.997e-01
-3.236e-02	1.974e-01
-5.351e-02	1.927e-01
-7.403e-02	1.858e-01
-9.368e-02	1.767e-01
-1.122e-01	1.655e-01
-1.295e-01	1.524e-01
-1.452e-01	1.375e-01
-1.592e-01	1.210e-01
-1.714e-01	1.031e-01
-1.815e-01	8.398e-02
-1.895e-01	6.386e-02
-1.953e-01	4.299e-02
-1.988e-01	2.162e-02
